TrialID,target,prime,primingMorpheme,relatedness,targetFreq,primeFreq,orthOverlap,targetLength,PrimeLength,targetSuffixLength,primeSuffixLength
101,mamam,oknam,suffix,rel,119.8,79.2,0.43,5,5,2,2
102,blazinam,drevesam,suffix,rel,15.2,60.1,0.3,8,8,2,2
103,malicam,berilam,suffix,rel,15.2,1.5,0.46,7,7,2,2
104,barabam,jezeram,suffix,rel,6.3,62.6,0.35,7,7,2,2
105,borbam,soncam,suffix,rel,13.3,83.1,0.39,6,6,2,2
106,haljam,mestam,suffix,rel,3.1,1085.9,0.38,6,6,2,2
107,babicam,peresam,suffix,rel,26.7,14.2,0.33,7,7,2,2
108,tačkam,jajcam,suffix,rel,3,50.7,0.5,6,6,2,2
109,celicam,vodilam,suffix,rel,59.8,21.4,0.46,7,7,2,2
110,kačam,jedam,suffix,rel,12,53.7,0.43,5,5,2,2
111,kravam,vlakam,suffix,rel,32.4,44.1,0.5,6,6,2,2
112,nalogam,agentam,suffix,rel,174.4,25.2,0.4,7,7,2,2
113,vrstam,pultam,suffix,rel,434.5,7.9,0.5,6,6,2,2
114,srajcam,šotoram,suffix,rel,13.2,14.2,0.33,7,7,2,2
115,sobam,ginam,suffix,rel,107.5,1.7,0.43,5,5,2,2
116,mizam,grmam,suffix,rel,103.7,7.9,0.45,5,5,2,2
117,zvezdam,strojam,suffix,rel,96,74.8,0.33,7,7,2,2
118,stenam,dedkam,suffix,rel,61.4,18.4,0.45,6,6,2,2
119,mokam,hodam,suffix,rel,35.7,3.5,0.57,5,5,2,2
120,zenicam,zvezkam,suffix,rel,2.3,11.4,0.62,7,7,2,2
121,izgubam,čevljam,suffix,rel,84,40.6,0.33,7,7,2,2
122,lisam,gibam,suffix,rel,7.7,18.6,0.57,5,5,2,2
123,jelkam,hrčkam,suffix,rel,4.8,2,0.5,6,6,2,2
124,begunkam,človekam,suffix,rel,24.4,1141.5,0.4,8,8,2,2
125,gubam,nožam,suffix,rel,7.7,25.2,0.43,5,5,2,2
126,linijam,kakavam,suffix,rel,48.4,3.9,0.33,7,7,2,2
127,oblekam,ključam,suffix,rel,65.2,38.8,0.4,7,7,2,2
128,gestam,bratam,suffix,rel,6.8,93.3,0.5,6,6,2,2
129,mačkam,blokam,suffix,rel,24.8,50.5,0.5,6,6,2,2
130,kozam,inčam,suffix,rel,10.8,0.3,0.43,5,5,2,2
131,močem,domem,suffix,rel,259.8,312.5,0.59,5,5,2,2
132,jedem,dežem,suffix,rel,53.7,35.8,0.59,5,5,2,2
133,kulturam,plakatam,suffix,rel,189.7,18.5,0.38,8,8,2,2
134,akcijam,oblakam,suffix,rel,163,25.1,0.34,7,7,2,2
135,bankam,stolam,suffix,rel,283.1,32.1,0.38,6,6,2,2
136,bradam,dečkam,suffix,rel,9.3,44.1,0.25,6,6,2,2
137,zgodbicam,admiralam,suffix,rel,7.1,2.7,0.34,9,9,2,2
138,snovem,čolnem,suffix,rel,70.5,30,0.34,6,6,2,2
139,aritmijam,žvižgačam,suffix,rel,1,0.1,0.45,9,9,2,2
140,nočem,srdem,suffix,rel,146.1,4.4,0.29,5,5,2,2
201,mamam,oknov,suffix,cntr,119.8,79.2,0,5,5,2,2
202,blazinam,drevesov,suffix,cntr,15.2,60.1,0.26,8,8,2,2
203,malicam,berilov,suffix,cntr,15.2,1.5,0.1,7,7,2,2
204,barabam,jezerov,suffix,cntr,6.3,62.6,0.11,7,7,2,2
205,borbam,soncov,suffix,cntr,13.3,83.1,0.13,6,6,2,2
206,haljam,mestov,suffix,cntr,3.1,1085.9,0.13,6,6,2,2
207,babicam,peresov,suffix,cntr,26.7,14.2,0.11,7,7,2,2
208,tačkam,jajcov,suffix,cntr,3,50.7,0.13,6,6,2,2
209,celicam,vodilov,suffix,cntr,59.8,21.4,0.13,7,7,2,2
210,kačam,jedov,suffix,cntr,12,53.7,0,5,5,2,2
211,kravam,žrtvov,suffix,cntr,32.4,44.1,0.25,6,6,2,2
212,nalogam,župicov,suffix,cntr,174.4,25.2,0.11,7,7,2,2
213,vrstam,pultev,suffix,cntr,434.5,7.9,0.13,6,6,2,2
214,srajcam,abonmov,suffix,cntr,13.2,14.2,0.18,7,7,2,2
215,sobam,ginov,suffix,cntr,107.5,1.7,0.14,5,5,2,2
216,mizam,grmem,suffix,cntr,103.7,7.9,0.31,5,5,2,2
217,zvezdam,strojov,suffix,cntr,96,74.8,0.11,7,7,2,2
218,stenam,žičkov,suffix,cntr,61.4,18.4,0,6,6,2,2
219,mokam,žilov,suffix,cntr,35.7,3.5,0.14,5,5,2,2
220,zenicam,žvercov,suffix,cntr,2.3,11.4,0.18,7,7,2,2
221,izgubam,značkov,suffix,cntr,84,40.6,0.13,7,7,2,2
222,lisam,dobov,suffix,cntr,7.7,18.6,0,5,5,2,2
223,jelkam,aferov,suffix,cntr,4.8,2,0.13,6,6,2,2
224,begunkam,žuželkov,suffix,cntr,24.4,1141.5,0.1,8,8,2,2
225,gubam,žilov,suffix,cntr,7.7,25.2,0,5,5,2,2
226,linijam,žrtevov,suffix,cntr,48.4,3.9,0,7,7,2,2
227,oblekam,zavesov,suffix,cntr,65.2,38.8,0.11,7,7,2,2
228,gestam,bitkov,suffix,cntr,6.8,93.3,0.13,6,6,2,2
229,mačkam,adijov,suffix,cntr,24.8,50.5,0.13,6,6,2,2
230,kozam,culov,suffix,cntr,10.8,0.3,0.14,5,5,2,2
231,močem,cvičov,suffix,cntr,259.8,312.5,0.16,5,6,2,2
232,jedem,dežov,suffix,cntr,53.7,35.8,0.29,5,5,2,2
233,kulturam,abecedov,suffix,cntr,189.7,18.5,0.1,8,8,2,2
234,akcijam,abonmov,suffix,cntr,163,25.1,0.24,7,7,2,2
235,bankam,žajfov,suffix,cntr,283.1,32.1,0.13,6,6,2,2
236,bradam,bluzov,suffix,cntr,9.3,44.1,0.13,6,6,2,2
237,zgodbicam,žgolenjov,suffix,cntr,7.1,2.7,0.09,9,9,2,2
238,snovem,vestov,suffix,cntr,70.5,30,0.38,6,6,2,2
239,aritmijam,zverjadov,suffix,cntr,1,0.1,0.27,9,9,2,2
240,nočem,potov,suffix,cntr,146.1,4.4,0,5,5,2,2
301,mamam,mamov,stem,rel,119.8,119.8,0.57,5,5,2,2
302,blazinam,blazinov,stem,rel,15.2,15.2,0.7,8,8,2,2
303,malicam,malicov,stem,rel,15.2,15.2,0.67,7,7,2,2
304,barabam,barabov,stem,rel,6.3,6.3,0.67,7,7,2,2
305,borbam,borbov,stem,rel,13.3,13.3,0.62,6,6,2,2
306,haljam,haljov,stem,rel,3.1,3.1,0.62,6,6,2,2
307,babicam,babicov,stem,rel,26.7,26.7,0.67,7,7,2,2
308,tačkam,tačkov,stem,rel,3,3,0.62,6,6,2,2
309,celicam,celicov,stem,rel,59.8,59.8,0.67,7,7,2,2
310,kačam,kačov,stem,rel,12,12,0.57,5,5,2,2
311,kravam,kravov,stem,rel,32.4,32.4,0.62,6,6,2,2
312,nalogam,nalogov,stem,rel,174.4,174.4,0.67,7,7,2,2
313,vrstam,vrstov,stem,rel,434.5,434.5,0.62,6,6,2,2
314,srajcam,srajcov,stem,rel,13.2,13.2,0.67,7,7,2,2
315,sobam,sobov,stem,rel,107.5,107.5,0.57,5,5,2,2
316,mizam,mizov,stem,rel,103.7,103.7,0.57,5,5,2,2
317,zvezdam,zvezdov,stem,rel,96,96,0.67,7,7,2,2
318,stenam,stenov,stem,rel,61.4,61.4,0.62,6,6,2,2
319,mokam,mokov,stem,rel,35.7,35.7,0.57,5,5,2,2
320,zenicam,zenicov,stem,rel,2.3,2.3,0.67,7,7,2,2
321,izgubam,izgubov,stem,rel,84,84,0.67,7,7,2,2
322,lisam,lisov,stem,rel,7.7,7.7,0.57,5,5,2,2
323,jelkam,jelkov,stem,rel,4.8,4.8,0.62,6,6,2,2
324,begunkam,begunkov,stem,rel,24.4,24.4,0.7,8,8,2,2
325,gubam,gubov,stem,rel,7.7,7.7,0.57,5,5,2,2
326,linijam,linijov,stem,rel,48.4,48.4,0.67,7,7,2,2
327,oblekam,oblekov,stem,rel,65.2,65.2,0.67,7,7,2,2
328,gestam,gestov,stem,rel,6.8,6.8,0.62,6,6,2,2
329,mačkam,mačkov,stem,rel,24.8,24.8,0.62,6,6,2,2
330,kozam,kozov,stem,rel,10.8,10.8,0.57,5,5,2,2
331,močem,močov,stem,rel,259.8,259.8,0.57,5,5,2,2
332,jedem,jedov,stem,rel,53.7,53.7,0.57,5,5,2,2
333,kulturam,kulturov,stem,rel,189.7,189.7,0.7,8,8,2,2
334,akcijam,akcijov,stem,rel,163,163,0.67,7,7,2,2
335,bankam,bankov,stem,rel,283.1,283.1,0.62,6,6,2,2
336,bradam,bradov,stem,rel,9.3,9.3,0.58,6,6,2,2
337,zgodbicam,zgodbicov,stem,rel,7.1,7.1,0.64,9,9,2,2
338,snovem,snovov,stem,rel,70.5,70.5,0.62,6,6,2,2
339,aritmijam,aritmijov,stem,rel,1,1,0.55,9,9,2,2
340,nočem,nočov,stem,rel,146.1,146.1,0.57,5,5,2,2
401,mamam,čajov,stem,cntr,119.8,37.5,0.14,5,5,2,2
402,blazinam,žaganjov,stem,cntr,15.2,1.8,0.21,8,8,2,2
403,malicam,cilijov,stem,cntr,15.2,228.4,0.14,7,7,2,2
404,barabam,baladov,stem,cntr,6.3,4.9,0.44,7,7,2,2
405,borbam,testov,stem,cntr,13.3,63.6,0.38,6,6,2,2
406,haljam,jahtov,stem,cntr,3.1,9.3,0.25,6,6,2,2
407,babicam,brenkov,stem,cntr,26.7,283.1,0.33,7,7,2,2
408,tačkam,častov,stem,cntr,3,37,0.2,6,6,2,2
409,celicam,licejov,stem,cntr,59.8,10.6,0.33,7,7,2,2
410,kačam,črkov,stem,cntr,12,39.6,0.14,5,5,2,2
411,kravam,ravnov,stem,cntr,32.4,174.9,0.38,6,6,2,2
412,nalogam,mogočov,stem,cntr,174.4,55.8,0.22,7,7,2,2
413,vrstam,mastov,stem,cntr,434.5,4.2,0.25,6,6,2,2
414,srajcam,majavov,stem,cntr,13.2,1.6,0.29,7,7,2,2
415,sobam,bosov,stem,cntr,107.5,6.3,0.29,5,5,2,2
416,mizam,zimov,stem,cntr,103.7,45.3,0.31,5,5,2,2
417,zvezdam,vezajov,stem,cntr,96,0.2,0.4,7,7,2,2
418,stenam,maskov,stem,cntr,61.4,29.1,0.14,6,6,2,2
419,mokam,komov,stem,cntr,35.7,5,0.31,5,5,2,2
420,zenicam,masažov,stem,cntr,2.3,1,0.13,7,7,2,2
421,izgubam,zabojov,stem,cntr,84,5.3,0.19,7,7,2,2
422,lisam,silov,stem,cntr,7.7,146.6,0.18,5,5,2,2
423,jelkam,malhov,stem,cntr,4.8,2.1,0.13,6,6,2,2
424,begunkam,rastinov,stem,cntr,24.4,0.2,0.2,8,8,2,2
425,gubam,gubov,stem,cntr,7.7,7.7,0.57,5,5,2,2
426,linijam,lijakov,stem,cntr,48.4,1.1,0.46,7,7,2,2
427,oblekam,komarov,stem,cntr,65.2,4.4,0.24,7,7,2,2
428,gestam,cestov,stem,cntr,6.8,360.1,0.38,6,6,2,2
429,mačkam,čakrov,stem,cntr,24.8,2.6,0.28,6,6,2,2
430,kozam,mokov,stem,cntr,10.8,35.7,0.29,5,5,2,2
431,močem,mečov,stem,cntr,259.8,9.4,0.47,5,5,2,2
432,jedem,mišov,stem,cntr,53.7,9,0.14,5,5,2,2
433,kulturam,žalostov,stem,cntr,189.7,40.7,0.11,8,8,2,2
434,akcijam,atrijov,stem,cntr,163,0.8,0.58,7,7,2,2
435,bankam,kantov,stem,cntr,283.1,1.6,0.25,6,6,2,2
436,bradam,liscov,stem,cntr,9.3,7.7,0.25,6,6,2,2
437,zgodbicam,žandarjov,stem,cntr,7.1,1,0.11,9,9,2,2
438,snovem,nohtov,stem,cntr,70.5,14.5,0.25,6,6,2,2
439,aritmijam,želatinov,stem,cntr,1,3,0.19,9,9,2,2
440,nočem,mečov,stem,cntr,146.1,9.4,0.18,5,5,2,2